,success,failure_predator,failure_timeout
0,0,1,0
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,0,1,0
6,1,0,0
7,1,0,0
8,1,0,0
9,0,1,0
10,1,0,0
11,1,0,0
12,0,1,0
13,1,0,0
14,1,0,0
15,1,0,0
16,0,1,0
17,0,1,0
18,0,1,0
19,1,0,0
20,0,1,0
21,1,0,0
22,1,0,0
23,0,1,0
24,0,1,0
25,0,1,0
26,1,0,0
27,1,0,0
28,1,0,0
29,1,0,0
30,1,0,0
31,0,1,0
32,1,0,0
33,1,0,0
34,0,1,0
35,0,1,0
36,1,0,0
37,1,0,0
38,0,1,0
39,1,0,0
40,0,1,0
41,1,0,0
42,0,1,0
43,1,0,0
44,1,0,0
45,1,0,0
46,1,0,0
47,1,0,0
48,1,0,0
49,0,1,0
50,1,0,0
51,1,0,0
52,1,0,0
53,0,1,0
54,1,0,0
55,0,1,0
56,0,1,0
57,0,1,0
58,0,1,0
59,0,1,0
60,1,0,0
61,0,1,0
62,1,0,0
63,1,0,0
64,1,0,0
65,0,1,0
66,1,0,0
67,1,0,0
68,1,0,0
69,0,1,0
70,1,0,0
71,0,1,0
72,1,0,0
73,1,0,0
74,1,0,0
75,1,0,0
76,1,0,0
77,1,0,0
78,1,0,0
79,0,1,0
80,1,0,0
81,1,0,0
82,0,1,0
83,0,1,0
84,0,1,0
85,1,0,0
86,1,0,0
87,1,0,0
88,0,1,0
89,1,0,0
90,1,0,0
91,0,1,0
92,1,0,0
93,0,1,0
94,1,0,0
95,1,0,0
96,1,0,0
97,1,0,0
98,1,0,0
99,1,0,0
