,times_prey_known,times_pred_known,time_steps
0,1,1,1
1,11,2,11
2,9,1,9
3,12,1,12
4,7,2,7
5,1,1,1
6,15,3,15
7,10,2,10
8,4,1,4
9,2,1,2
10,9,2,9
11,6,1,6
12,15,3,15
13,11,1,11
14,4,2,4
15,10,2,10
16,4,3,4
17,6,1,6
18,16,1,16
19,6,3,6
20,9,3,9
21,5,1,5
22,7,2,7
23,3,2,3
24,12,3,12
25,14,2,14
26,11,1,11
27,6,1,6
28,5,1,5
29,22,3,22
30,4,1,4
31,5,1,5
32,10,1,10
33,5,1,5
34,8,4,8
35,7,1,7
36,11,2,11
37,10,3,10
38,5,1,5
39,12,4,12
40,15,3,15
41,2,1,2
42,7,1,7
43,1,1,1
44,2,2,2
45,13,1,13
46,14,2,14
47,16,3,16
48,14,7,14
49,12,2,12
50,2,1,2
51,14,2,14
52,8,2,8
53,4,2,4
54,3,2,3
55,4,2,4
56,19,6,19
57,2,1,2
58,1,1,1
59,8,1,8
60,11,2,11
61,13,3,13
62,10,5,10
63,4,3,4
64,12,1,12
65,12,1,12
66,15,1,15
67,11,2,11
68,13,1,13
69,2,2,2
70,2,1,2
71,13,2,13
72,7,1,7
73,4,1,4
74,12,2,12
75,10,1,10
76,17,1,17
77,16,2,16
78,12,1,12
79,7,3,7
80,10,3,10
81,7,3,7
82,10,5,10
83,16,2,16
84,10,2,10
85,6,3,6
86,13,1,13
87,16,1,16
88,10,1,10
89,14,1,14
90,15,1,15
91,18,2,18
92,9,1,9
93,17,2,17
94,12,1,12
95,7,1,7
96,9,1,9
97,12,1,12
98,1,1,1
99,12,2,12
