,times_prey_known,times_pred_known,time_steps
0,0,10,22
1,0,2,17
2,0,11,22
3,1,69,88
4,0,10,19
5,1,16,27
6,0,4,14
7,0,30,35
8,1,10,23
9,0,15,25
10,0,9,19
11,0,78,95
12,0,2,14
13,0,1,12
14,1,32,39
15,0,7,22
16,0,3,16
17,1,3,3
18,1,3,4
19,0,11,29
20,1,8,10
21,0,1,12
22,1,17,31
23,0,9,21
24,1,68,84
25,0,11,20
26,1,4,13
27,0,2,2
28,1,3,14
29,0,5,21
30,1,4,8
31,1,1,6
32,0,2,12
33,1,8,8
34,0,10,14
35,1,2,12
36,0,2,3
37,0,1,5
38,1,19,25
39,0,4,4
40,1,6,6
41,1,17,22
42,1,11,28
43,0,35,40
44,3,1,15
45,0,1,15
46,0,4,16
47,0,2,14
48,1,6,8
49,1,10,12
50,0,10,14
51,1,10,15
52,1,4,4
53,0,6,6
54,2,13,21
55,1,5,15
56,0,3,16
57,0,11,23
58,1,41,52
59,1,3,11
60,1,8,20
61,1,5,10
62,0,5,18
63,0,10,20
64,0,1,17
65,0,4,15
66,0,4,8
67,2,18,32
68,1,14,29
69,0,37,47
70,2,5,17
71,1,1,1
72,0,31,38
73,0,3,16
74,0,2,11
75,1,10,18
76,1,4,19
77,0,4,13
78,1,19,32
79,0,26,29
80,1,16,21
81,0,1,5
82,1,7,9
83,0,62,81
84,0,18,29
85,1,4,11
86,0,15,19
87,1,7,17
88,0,9,21
89,0,2,15
90,0,2,12
91,0,2,13
92,0,2,14
93,0,1,6
94,0,3,15
95,0,3,15
96,1,2,12
97,0,15,19
98,0,5,20
99,0,4,11
